import time: self [us] | cumulative | imported package
import time:       229 |        229 | winreg
import time:       412 |        412 |   _io
import time:        56 |         56 |   marshal
import time:       263 |        263 |   nt
import time:       560 |       1289 | _frozen_importlib_external
import time:       555 |        555 |   time
import time:       176 |        730 | zipimport
import time:        57 |         57 |     _codecs
import time:       362 |        418 |   codecs
import time:      1410 |       1410 |   encodings.aliases
import time:      2340 |       4168 | encodings
import time:       840 |        840 | encodings.utf_8
import time:       784 |        784 | encodings.cp1252
import time:        52 |         52 | _signal
import time:        34 |         34 |     _abc
import time:       140 |        173 |   abc
import time:       135 |        308 | io
import time:        56 |         56 |       _stat
import time:        77 |        133 |     stat
import time:       718 |        718 |     _collections_abc
import time:        36 |         36 |       genericpath
import time:       100 |        100 |       _winapi
import time:        74 |        210 |     ntpath
import time:       239 |       1299 |   os
import time:        65 |         65 |   _sitebuiltins
import time:       798 |        798 |   sitecustomize
import time:      1052 |       3212 | site
import time:      1659 |       1659 |       warnings
import time:      1953 |       3612 |     importlib
import time:       117 |       3729 |   importlib.machinery
import time:      1395 |       1395 |     importlib._abc
import time:       223 |        223 |           itertools
import time:      1095 |       1095 |           keyword
import time:        99 |         99 |             _operator
import time:      1191 |       1289 |           operator
import time:       983 |        983 |           reprlib
import time:       112 |        112 |           _collections
import time:      2023 |       5723 |         collections
import time:      1140 |       1140 |         types
import time:        79 |         79 |         _functools
import time:      1684 |       8624 |       functools
import time:       833 |        833 |       _weakrefset
import time:      1820 |      11276 |     threading
import time:       213 |      12884 |   importlib.util
import time:       159 |      16771 | runpy
import time:       843 |        843 |   __future__
import time:       625 |        625 |     _pytest._version
import time:       625 |       1249 |   _pytest
import time:      1666 |       1666 |           enum
import time:        80 |         80 |             _sre
import time:       649 |        649 |               re._constants
import time:       707 |       1356 |             re._parser
import time:       607 |        607 |             re._casefix
import time:       823 |       2864 |           re._compiler
import time:       776 |        776 |           copyreg
import time:      1289 |       6594 |         re
import time:      1873 |       1873 |         _ast
import time:      1190 |       1190 |         contextlib
import time:      1793 |      11448 |       ast
import time:       691 |        691 |       collections.abc
import time:      1164 |       1164 |           weakref
import time:       807 |       1970 |         copy
import time:        51 |         51 |               _opcode
import time:       812 |        862 |             opcode
import time:      1164 |       2026 |           dis
import time:       630 |        630 |               token
import time:        44 |         44 |               _tokenize
import time:      1410 |       2083 |             tokenize
import time:       611 |       2693 |           linecache
import time:      3045 |       7764 |         inspect
import time:      1178 |      10911 |       dataclasses
import time:       276 |        276 |             posix
import time:       104 |        380 |           posixpath
import time:       838 |       1218 |         fnmatch
import time:        98 |         98 |         errno
import time:       919 |        919 |           urllib
import time:       208 |        208 |           math
import time:      2139 |       2139 |           ipaddress
import time:      1865 |       5129 |         urllib.parse
import time:      1640 |       8083 |       pathlib
import time:      1400 |       1400 |         textwrap
import time:      1243 |       2642 |       traceback
import time:        59 |         59 |         _typing
import time:      2927 |       2985 |       typing
import time:       349 |        349 |           pluggy._result
import time:      1008 |       1356 |         pluggy._hooks
import time:       352 |        352 |           pluggy._tracing
import time:       244 |        244 |             pluggy._warnings
import time:       263 |        507 |           pluggy._callers
import time:       730 |       1588 |         pluggy._manager
import time:       216 |        216 |         pluggy._version
import time:       454 |       3614 |       pluggy
import time:        55 |         55 |           _bisect
import time:       616 |        670 |         bisect
import time:       334 |       1004 |       _pytest._code.source
import time:       104 |        104 |             zlib
import time:       759 |        759 |               _compression
import time:      1133 |       1133 |               _bz2
import time:       906 |       2797 |             bz2
import time:       616 |        616 |               _lzma
import time:       857 |       1472 |             lzma
import time:      1142 |       5514 |           shutil
import time:       444 |        444 |           pygments
import time:       376 |        376 |               pygments.formatters._mapping
import time:        95 |         95 |                     _csv
import time:      1017 |       1112 |                   csv
import time:       755 |        755 |                   email
import time:        85 |         85 |                     binascii
import time:        80 |         80 |                       _struct
import time:       599 |        678 |                     struct
import time:       763 |        763 |                       zipfile._path.glob
import time:      1001 |       1763 |                     zipfile._path
import time:      1447 |       3971 |                   zipfile
import time:       780 |        780 |                       quopri
import time:        61 |         61 |                           _random
import time:        43 |         43 |                           _sha2
import time:      1095 |       1198 |                         random
import time:      1621 |       1621 |                           _socket
import time:       567 |        567 |                             select
import time:      1295 |       1862 |                           selectors
import time:      1603 |       5085 |                         socket
import time:       147 |        147 |                           _datetime
import time:       682 |        829 |                         datetime
import time:        70 |         70 |                               _locale
import time:      1401 |       1471 |                             locale
import time:      1334 |       2805 |                           calendar
import time:       820 |       3625 |                         email._parseaddr
import time:       653 |        653 |                             base64
import time:       540 |       1193 |                           email.base64mime
import time:        45 |         45 |                               _string
import time:      1104 |       1149 |                             string
import time:       762 |       1910 |                           email.quoprimime
import time:       873 |        873 |                           email.errors
import time:       976 |        976 |                           email.encoders
import time:       739 |       5689 |                         email.charset
import time:      1150 |      17573 |                       email.utils
import time:      1282 |       1282 |                         email.header
import time:      1149 |       2430 |                       email._policybase
import time:       884 |        884 |                       email._encoded_words
import time:       749 |        749 |                       email.iterators
import time:      1145 |      23559 |                     email.message
import time:       589 |        589 |                       importlib.metadata._functools
import time:       710 |       1298 |                     importlib.metadata._text
import time:       886 |      25742 |                   importlib.metadata._adapters
import time:       950 |        950 |                   importlib.metadata._meta
import time:       851 |        851 |                   importlib.metadata._collections
import time:       656 |        656 |                   importlib.metadata._itertools
import time:      1041 |       1041 |                         tempfile
import time:       922 |        922 |                         importlib.resources.abc
import time:       811 |        811 |                         importlib.resources._adapters
import time:      1036 |       3810 |                       importlib.resources._common
import time:       712 |        712 |                       importlib.resources._legacy
import time:       711 |       5231 |                     importlib.resources
import time:       801 |       6032 |                   importlib.abc
import time:      2287 |      42352 |                 importlib.metadata
import time:       280 |      42632 |               pygments.plugin
import time:       966 |        966 |               pygments.util
import time:       542 |      44514 |             pygments.formatters
import time:       606 |        606 |                 pygments.styles._mapping
import time:       408 |       1014 |               pygments.styles
import time:       309 |       1322 |             pygments.formatter
import time:       915 |        915 |             pygments.token
import time:       501 |        501 |             pygments.console
import time:       439 |      47688 |           pygments.formatters.terminal
import time:       499 |        499 |             pygments.filter
import time:      1094 |       1094 |             pygments.filters
import time:       485 |        485 |             pygments.regexopt
import time:      1265 |       3341 |           pygments.lexer
import time:      1991 |       1991 |               pygments.lexers._mapping
import time:       512 |        512 |               pygments.modeline
import time:       589 |       3091 |             pygments.lexers
import time:       395 |       3486 |           pygments.lexers.diff
import time:       421 |        421 |             pygments.unistring
import time:      1662 |       2082 |           pygments.lexers.python
import time:       244 |        244 |                 _pytest._py
import time:       381 |        624 |               _pytest._py.error
import time:        42 |         42 |                 atexit
import time:       529 |        529 |                   _uuid
import time:       926 |       1455 |                 uuid
import time:       743 |       2240 |               _pytest._py.path
import time:       322 |       3185 |             py
import time:       434 |       3618 |           _pytest.compat
import time:       663 |        663 |             unicodedata
import time:       266 |        928 |           _pytest._io.wcwidth
import time:       555 |      67653 |         _pytest._io.terminalwriter
import time:       293 |      67946 |       _pytest._io
import time:       889 |        889 |         pprint
import time:       310 |       1199 |       _pytest._io.saferepr
import time:       885 |        885 |         _pytest.warning_types
import time:       273 |       1158 |       _pytest.deprecated
import time:       385 |        385 |         _pytest.outcomes
import time:       717 |       1101 |       _pytest.pathlib
import time:      4885 |     117661 |     _pytest._code.code
import time:       391 |     118052 |   _pytest._code
import time:       646 |        646 |         importlib.resources._itertools
import time:       887 |       1533 |       importlib.resources.readers
import time:       379 |        379 |         _pytest._io.pprint
import time:      1157 |       1157 |             gettext
import time:      1511 |       2667 |           argparse
import time:       875 |        875 |           glob
import time:       902 |        902 |           shlex
import time:       469 |        469 |           _pytest.config.compat
import time:       264 |        264 |           _pytest.config.exceptions
import time:       284 |        284 |                 iniconfig.exceptions
import time:       600 |        883 |               iniconfig._parse
import time:       791 |       1674 |             iniconfig
import time:      1104 |       2778 |           _pytest.config.findpaths
import time:       623 |        623 |           _pytest.config.argparsing
import time:       438 |        438 |           _pytest.hookspec
import time:       309 |        309 |           _pytest.stash
import time:      2141 |      11463 |         _pytest.config
import time:       463 |      12304 |       _pytest.assertion.util
import time:      1832 |       1832 |               _pytest.mark.expression
import time:       758 |        758 |                 _pytest.raises
import time:       421 |        421 |                 _pytest.scope
import time:      1856 |       3034 |               _pytest.mark.structures
import time:       941 |       5806 |             _pytest.mark
import time:        35 |       5841 |           _pytest.mark.structures
import time:       729 |       6569 |         _pytest.nodes
import time:       529 |        529 |           _pytest.reports
import time:      1087 |       1087 |             bdb
import time:      1860 |       1860 |             _pytest.timing
import time:      1543 |       4488 |           _pytest.runner
import time:      1827 |       6844 |         _pytest.main
import time:      3322 |      16734 |       _pytest.fixtures
import time:       888 |      31458 |     _pytest.assertion.rewrite
import time:       330 |        330 |     _pytest.assertion.truncate
import time:       514 |      32301 |   _pytest.assertion
import time:        68 |         68 |           _json
import time:       892 |        960 |         json.scanner
import time:       965 |       1924 |       json.decoder
import time:       738 |        738 |       json.encoder
import time:       853 |       3515 |     json
import time:       886 |       4400 |   _pytest.cacheprovider
import time:      1353 |       1353 |   _pytest.capture
import time:       705 |        705 |         unittest.util
import time:       902 |       1607 |       unittest.result
import time:        61 |         61 |             _heapq
import time:       746 |        807 |           heapq
import time:      1223 |       2030 |         difflib
import time:      1190 |       3219 |       unittest.case
import time:       895 |        895 |       unittest.suite
import time:      1239 |       1239 |       unittest.loader
import time:       756 |        756 |             signal
import time:       652 |       1408 |           unittest.signals
import time:       726 |       2134 |         unittest.runner
import time:       667 |       2801 |       unittest.main
import time:       862 |      10621 |     unittest
import time:       454 |      11074 |   _pytest.debugging
import time:      2082 |       2082 |       _wmi
import time:      1181 |       3263 |     platform
import time:      2975 |       2975 |     _pytest.python
import time:       974 |        974 |           numbers
import time:      1250 |       2223 |         _decimal
import time:       746 |       2969 |       decimal
import time:       508 |       3477 |     _pytest.python_api
import time:       671 |      10384 |   _pytest.doctest
import time:       336 |        336 |   _pytest.freeze_support
import time:       235 |        235 |       fcntl
import time:        60 |         60 |       msvcrt
import time:      1419 |       1713 |     subprocess
import time:       493 |        493 |     _pytest.monkeypatch
import time:       117 |        117 |       gc
import time:       913 |        913 |       _pytest.tmpdir
import time:      1128 |       2157 |     _pytest.pytester
import time:      1566 |       1566 |     _pytest.terminal
import time:       859 |       6786 |   _pytest.legacypath
import time:      2910 |       2910 |     logging
import time:      1015 |       3924 |   _pytest.logging
import time:       481 |        481 |   _pytest.recwarn
import time:      2449 |       2449 |   _pytest.subtests
import time:       750 |     194377 | pytest
import time:       301 |        301 | _pytest._argcomplete
import time:       460 |        460 | _pytest.helpconfig
import time:       760 |        760 | _pytest.unittest
import time:      1610 |       1610 | _pytest.skipping
import time:       339 |        339 | _pytest.pastebin
import time:       737 |        737 |       xml
import time:       684 |       1421 |     xml.etree
import time:      1036 |       1036 |     xml.etree.ElementPath
import time:       615 |        615 |       pyexpat
import time:       704 |       1318 |     _elementtree
import time:      1274 |       5048 |   xml.etree.ElementTree
import time:       587 |       5635 | _pytest.junitxml
import time:       351 |        351 | _pytest.setuponly
import time:       261 |        261 | _pytest.setupplan
import time:      1152 |       1152 | _pytest.stepwise
import time:       289 |        289 |   _pytest.tracemalloc
import time:       669 |        957 | _pytest.unraisableexception
import time:       600 |        600 | _pytest.threadexception
import time:       354 |        354 | _pytest.warnings
import time:       324 |        324 | _pytest.faulthandler
import time:       505 |        505 |       tomllib._types
import time:      1355 |       1860 |     tomllib._re
import time:      1146 |       3006 |   tomllib._parser
import time:       712 |       3718 | tomllib
import time:       441 |        441 |       colorama.ansi
import time:      3222 |       3222 |             _ctypes
import time:      1097 |       1097 |             ctypes._endian
import time:      1717 |       6036 |           ctypes
import time:      1117 |       1117 |           ctypes.wintypes
import time:       514 |       7666 |         colorama.win32
import time:       425 |       8091 |       colorama.winterm
import time:       780 |       9312 |     colorama.ansitowin32
import time:       470 |       9781 |   colorama.initialise
import time:       709 |      10489 | colorama
import time:       277 |        277 | readline
import time:       190 |        190 | faulthandler
import time:       910 |        910 |   cmd
import time:       805 |        805 |     codeop
import time:       880 |       1684 |   code
import time:      1693 |       4287 | pdb
import time:       711 |        711 | _pytest.terminalprogress
